Component,Explained_Variance,Cumulative_Variance
1,0.3059921138488122,0.3059921138488122
2,0.20316133520462035,0.5091534490534325
3,0.17429700527867611,0.6834504543321086
4,0.1562424485889212,0.8396929029210298
5,0.13245751277309187,0.9721504156941216
6,0.027849584305878246,0.9999999999999999
