,0
PX_VOLUME_LOG,0.07892696734277972
VOLATILITY_10D,0.07644584134133327
VOLATILITY_30D,0.06373421282266256
LSTM_POLARITY,0.04708617911519898
LAST_PRICE,0.014024457115867627
TEXTBLOB_POLARITY,0.010356683588626079
