Model,RMSE,R2_Score,MSE
Linear Regression,0.015419711963796752,0.012513093868954162,0.00023776751704645668
SVR,0.016523376180282632,-0.1339043041936796,0.00027302196039513145
Decision Tree,0.009482546255756064,0.6265531824177263,8.991868349255334e-05
Random Forest,0.008769252218826726,0.6806227730388745,7.689978447739747e-05
AdaBoost,0.013848956396915368,0.20345022566545312,0.00019179359328366308
Neural Network,0.014795550652202132,0.09083838935818334,0.00021890831910187893
